_id,device,timestamp,temperature,humidity,NH3,CO,NO2,CO2,cluster,kategori
693d03486b13234aa5b2feb7,ESP8266-Sensors,2025-12-13|06:10:16,32.6,81.54,1.48,0.41,0.35,551.12,,
693d034d6b13234aa5b2feb8,ESP8266-Sensors,2025-12-13|06:10:21,26.61,47.51,1.78,2.96,0.34,558.93,,
693d03526b13234aa5b2feb9,ESP8266-Sensors,2025-12-13|06:10:26,30.59,82.55,0.9,2.29,0.18,455.98,,
693d03576b13234aa5b2feba,ESP8266-Sensors,2025-12-13|06:10:31,31.78,88.95,1.91,0.9,0.72,439.02,,
693d035c6b13234aa5b2febb,ESP8266-Sensors,2025-12-13|06:10:36,25.18,60.07,1.3,2.19,0.63,468.7,,
693d03616b13234aa5b2febc,ESP8266-Sensors,2025-12-13|06:10:41,26.84,76.7,1.41,2.15,0.55,574.64,,
693d03666b13234aa5b2febd,ESP8266-Sensors,2025-12-13|06:10:46,33.21,61.92,0.64,4.54,0.83,506.15,,
693d036b6b13234aa5b2febe,ESP8266-Sensors,2025-12-13|06:10:51,25.6,52.88,0.53,4.32,0.52,460.65,,
693d03706b13234aa5b2febf,ESP8266-Sensors,2025-12-13|06:10:56,29.33,42,1.69,4.84,0.73,492.56,,
693d03756b13234aa5b2fec0,ESP8266-Sensors,2025-12-13|06:11:01,26.97,61.19,1.95,2.75,0.21,590.45,,
693d037a6b13234aa5b2fec1,ESP8266-Sensors,2025-12-13|06:11:06,26.99,81.74,0.55,1.11,0.13,575.61,,
693d037f6b13234aa5b2fec2,ESP8266-Sensors,2025-12-13|06:11:11,33.71,53.55,1.74,4.59,0.26,509.03,,
693d03846b13234aa5b2fec3,ESP8266-Sensors,2025-12-13|06:11:16,27.65,53.93,0.96,1.28,0.7,426.64,,
693d03896b13234aa5b2fec4,ESP8266-Sensors,2025-12-13|06:11:21,29.06,70.65,1.88,4.58,0.76,416.52,,
693d038e6b13234aa5b2fec5,ESP8266-Sensors,2025-12-13|06:11:26,33.32,86.78,0.69,1.05,0.8,484.86,,
693d03936b13234aa5b2fec6,ESP8266-Sensors,2025-12-13|06:11:31,28.18,75.95,1.68,1.58,0.56,494.62,,
693d03986b13234aa5b2fec7,ESP8266-Sensors,2025-12-13|06:11:36,33.14,81.93,1.3,3.23,0.95,441.29,,
693d039d6b13234aa5b2fec8,ESP8266-Sensors,2025-12-13|06:11:41,31.99,80.03,0.54,1.79,0.4,428.94,,
693d03a26b13234aa5b2fec9,ESP8266-Sensors,2025-12-13|06:11:46,28.63,76.61,1.48,2.33,0.15,572.54,,
693d03a76b13234aa5b2feca,ESP8266-Sensors,2025-12-13|06:11:51,33.87,63,0.56,0.8,0.37,498.02,,
693d03ac6b13234aa5b2fecb,ESP8266-Sensors,2025-12-13|06:11:56,30.07,54.09,0.78,4.17,0.7,434.54,,
693d03b16b13234aa5b2fecc,ESP8266-Sensors,2025-12-13|06:12:01,26.21,77.36,0.62,2.74,0.48,404.53,,
693d03b66b13234aa5b2fecd,ESP8266-Sensors,2025-12-13|06:12:06,27.54,46.33,1.83,0.89,0.94,549.21,,
693d03bb6b13234aa5b2fece,ESP8266-Sensors,2025-12-13|06:12:11,28.41,62.71,0.53,4.35,0.74,521.81,,
693d03c06b13234aa5b2fecf,ESP8266-Sensors,2025-12-13|06:12:16,33.61,89.23,1.6,3.37,0.34,564.99,,
693d03c56b13234aa5b2fed0,ESP8266-Sensors,2025-12-13|06:12:21,32.48,57.88,1.67,3.63,0.16,565.21,,
693d03ca6b13234aa5b2fed1,ESP8266-Sensors,2025-12-13|06:12:26,34.6,89.38,0.96,1.02,0.78,515.13,,
693d03cf6b13234aa5b2fed2,ESP8266-Sensors,2025-12-13|06:12:31,29.75,55.89,0.77,4.54,0.36,420.38,,
693d03d46b13234aa5b2fed3,ESP8266-Sensors,2025-12-13|06:12:36,34.49,55.85,1.94,0.86,0.95,499.56,,
693d03d96b13234aa5b2fed4,ESP8266-Sensors,2025-12-13|06:12:41,28.37,76.14,1.28,4.57,0.12,546.35,,
693d03de6b13234aa5b2fed5,ESP8266-Sensors,2025-12-13|06:12:46,28.53,76.02,2,0.9,0.49,463.66,,
693d03e36b13234aa5b2fed6,ESP8266-Sensors,2025-12-13|06:12:51,30.11,83.23,1.81,4.72,0.91,481.16,,
693d03e86b13234aa5b2fed7,ESP8266-Sensors,2025-12-13|06:12:56,30.09,63.89,0.7,1.76,0.65,400.14,,
693d03ed6b13234aa5b2fed8,ESP8266-Sensors,2025-12-13|06:13:01,29.06,72.73,1.28,1.66,0.88,429.12,,
693d03f26b13234aa5b2fed9,ESP8266-Sensors,2025-12-13|06:13:06,27.76,67.83,1.99,0.57,0.49,593.4,,
693d03f76b13234aa5b2feda,ESP8266-Sensors,2025-12-13|06:13:11,34.06,87.65,1.49,0.26,0.17,492.59,,
693d03fc6b13234aa5b2fedb,ESP8266-Sensors,2025-12-13|06:13:16,26.61,66.81,0.97,4.63,0.3,431.61,,
693d04016b13234aa5b2fedc,ESP8266-Sensors,2025-12-13|06:13:21,28.09,67.36,0.63,2.84,0.57,545.63,,
693d04066b13234aa5b2fedd,ESP8266-Sensors,2025-12-13|06:13:26,33.55,42.84,1.9,3.66,0.79,476.37,,
693d040b6b13234aa5b2fede,ESP8266-Sensors,2025-12-13|06:13:31,31.6,43.76,1.47,2.08,0.65,532.84,,
693d04106b13234aa5b2fedf,ESP8266-Sensors,2025-12-13|06:13:36,30.62,84.81,1.92,2.66,0.79,571.77,,
693d04156b13234aa5b2fee0,ESP8266-Sensors,2025-12-13|06:13:41,30.39,40.69,1.78,4.41,0.76,510.71,,
693d041a6b13234aa5b2fee1,ESP8266-Sensors,2025-12-13|06:13:46,32.42,50.06,0.84,3.96,0.61,469.19,,
693d041f6b13234aa5b2fee2,ESP8266-Sensors,2025-12-13|06:13:51,28.47,65.52,0.5,0.46,0.98,406.48,,
693d04246b13234aa5b2fee3,ESP8266-Sensors,2025-12-13|06:13:56,28.78,44.11,1.63,0.86,0.68,418.66,,
693d04296b13234aa5b2fee4,ESP8266-Sensors,2025-12-13|06:14:01,29.74,64.07,0.92,3.2,0.88,555.2,,
693d042e6b13234aa5b2fee5,ESP8266-Sensors,2025-12-13|06:14:06,34.48,55.81,1.48,0.84,0.75,481.03,,
693d04336b13234aa5b2fee6,ESP8266-Sensors,2025-12-13|06:14:11,26.61,85.28,0.57,0.79,0.12,447.42,,
693d04386b13234aa5b2fee7,ESP8266-Sensors,2025-12-13|06:14:16,28.63,64.73,1.49,1.65,0.61,417.99,,
693d043d6b13234aa5b2fee8,ESP8266-Sensors,2025-12-13|06:14:21,27.26,70.62,1.39,0.12,0.7,402.32,,
693d04426b13234aa5b2fee9,ESP8266-Sensors,2025-12-13|06:14:26,32.39,68.91,1.96,1.47,0.43,444.09,,
693d04476b13234aa5b2feea,ESP8266-Sensors,2025-12-13|06:14:31,26.72,77.37,2,4.56,0.68,588.36,,
693d044c6b13234aa5b2feeb,ESP8266-Sensors,2025-12-13|06:14:36,34.04,51.05,1.04,3.34,0.14,415.73,,
693d04516b13234aa5b2feec,ESP8266-Sensors,2025-12-13|06:14:41,30.42,47.73,0.95,1.73,0.81,451.31,,
693d04566b13234aa5b2feed,ESP8266-Sensors,2025-12-13|06:14:46,33.97,72.17,1.51,4.17,0.93,445.19,,
693d045b6b13234aa5b2feee,ESP8266-Sensors,2025-12-13|06:14:51,32.86,55.41,1.05,2.37,0.6,474.61,,
693d04606b13234aa5b2feef,ESP8266-Sensors,2025-12-13|06:14:56,29.47,80.78,1.9,1.31,0.83,580.33,,
693d04656b13234aa5b2fef0,ESP8266-Sensors,2025-12-13|06:15:01,26.91,85.39,1.95,2.95,0.99,561.95,,
693d046a6b13234aa5b2fef1,ESP8266-Sensors,2025-12-13|06:15:06,34.27,68.35,0.98,2.89,0.4,539.29,,
693d046f6b13234aa5b2fef2,ESP8266-Sensors,2025-12-13|06:15:11,33.51,59.41,1.03,0.21,0.99,465.06,,
693d04746b13234aa5b2fef3,ESP8266-Sensors,2025-12-13|06:15:16,28,78.91,1.93,2.67,0.81,467.45,,
693d04796b13234aa5b2fef4,ESP8266-Sensors,2025-12-13|06:15:21,28.4,66.75,1.76,4.59,0.69,510.79,,
693d047e6b13234aa5b2fef5,ESP8266-Sensors,2025-12-13|06:15:26,29.59,53.47,1.84,3.91,0.9,406.67,,
693d04836b13234aa5b2fef6,ESP8266-Sensors,2025-12-13|06:15:31,27.12,81.03,0.7,0.92,0.46,527.87,,
693d04886b13234aa5b2fef7,ESP8266-Sensors,2025-12-13|06:15:36,30,78.83,1,2.45,0.77,557.56,,
693d048d6b13234aa5b2fef8,ESP8266-Sensors,2025-12-13|06:15:41,30.81,63.73,1.57,1.84,0.72,487.05,,
693d04926b13234aa5b2fef9,ESP8266-Sensors,2025-12-13|06:15:46,33.82,40.86,0.66,4.73,0.4,555.35,,
693d04976b13234aa5b2fefa,ESP8266-Sensors,2025-12-13|06:15:51,34,76.47,0.88,2.66,0.46,491.96,,
693d049c6b13234aa5b2fefb,ESP8266-Sensors,2025-12-13|06:15:56,28.58,75.09,1.87,4.53,0.47,466.55,,
693d04a16b13234aa5b2fefc,ESP8266-Sensors,2025-12-13|06:16:01,25.62,85.02,1.25,4.38,0.9,430.27,,
693d04a66b13234aa5b2fefd,ESP8266-Sensors,2025-12-13|06:16:06,28.61,59.31,1.23,1.07,0.74,452.48,,
693d04ab6b13234aa5b2fefe,ESP8266-Sensors,2025-12-13|06:16:11,33.04,46.66,0.99,2.46,0.12,504.96,,
693d04b06b13234aa5b2feff,ESP8266-Sensors,2025-12-13|06:16:16,34.02,68.6,0.91,2.95,0.92,539.52,,
693d04b56b13234aa5b2ff00,ESP8266-Sensors,2025-12-13|06:16:21,30.93,45.61,0.83,1.22,0.3,531.57,,
693d04ba6b13234aa5b2ff01,ESP8266-Sensors,2025-12-13|06:16:26,32.31,41.34,0.98,4.2,0.26,521.33,,
693d04bf6b13234aa5b2ff02,ESP8266-Sensors,2025-12-13|06:16:31,29.26,63.54,1.79,4.19,0.96,418.27,,
693d04c46b13234aa5b2ff03,ESP8266-Sensors,2025-12-13|06:16:36,29.46,74.53,1.84,1.8,0.53,534.08,,
693d04c96b13234aa5b2ff04,ESP8266-Sensors,2025-12-13|06:16:41,26.58,79.77,1.26,4.98,0.86,598.46,,
693d04ce6b13234aa5b2ff05,ESP8266-Sensors,2025-12-13|06:16:46,27.01,53.13,1.22,3.33,0.92,448.6,,
693d04d36b13234aa5b2ff06,ESP8266-Sensors,2025-12-13|06:16:51,27.02,71.46,1.02,4.9,0.32,425.38,,
693d04d86b13234aa5b2ff07,ESP8266-Sensors,2025-12-13|06:16:56,30.07,49.14,1.49,4.95,0.15,594.97,,
693d04dd6b13234aa5b2ff08,ESP8266-Sensors,2025-12-13|06:17:01,28.54,80.29,1.99,4.91,0.88,410.79,,
693d04e26b13234aa5b2ff09,ESP8266-Sensors,2025-12-13|06:17:06,32.99,40.86,1.76,3.75,0.89,456.78,,
693d04e76b13234aa5b2ff0a,ESP8266-Sensors,2025-12-13|06:17:11,30.39,66.71,0.62,3.17,0.57,525.19,,
693d04ec6b13234aa5b2ff0b,ESP8266-Sensors,2025-12-13|06:17:16,29.75,40.12,1.68,4.73,0.99,407.06,,
693d04f16b13234aa5b2ff0c,ESP8266-Sensors,2025-12-13|06:17:21,26.85,86.1,1.4,2.24,0.88,452.92,,
693d04f66b13234aa5b2ff0d,ESP8266-Sensors,2025-12-13|06:17:26,33.84,56.06,1.79,4.51,0.73,452.37,,
693d04fb6b13234aa5b2ff0e,ESP8266-Sensors,2025-12-13|06:17:31,30.75,58.39,1.72,1.47,0.78,401.99,,
693d05006b13234aa5b2ff0f,ESP8266-Sensors,2025-12-13|06:17:36,26.62,51.08,1.33,2.02,0.29,507.34,,
693d05056b13234aa5b2ff10,ESP8266-Sensors,2025-12-13|06:17:41,25.22,41.21,1.98,0.68,0.63,423.5,,
693d050a6b13234aa5b2ff11,ESP8266-Sensors,2025-12-13|06:17:46,27.66,66.98,0.92,1.03,0.86,570.46,,
693d050f6b13234aa5b2ff12,ESP8266-Sensors,2025-12-13|06:17:51,33.09,53.74,0.74,2.24,0.54,402.68,,
693d05146b13234aa5b2ff13,ESP8266-Sensors,2025-12-13|06:17:56,29.95,76.39,1.37,3.65,0.74,580.55,,
693d05196b13234aa5b2ff14,ESP8266-Sensors,2025-12-13|06:18:01,27.21,68.04,1.66,4.43,0.84,428.15,,
693d051e6b13234aa5b2ff15,ESP8266-Sensors,2025-12-13|06:18:06,29.27,62.06,0.71,3.64,0.95,458.11,,
693d05236b13234aa5b2ff16,ESP8266-Sensors,2025-12-13|06:18:11,28.28,71.25,1.33,4.95,0.53,577.15,,
693d05286b13234aa5b2ff17,ESP8266-Sensors,2025-12-13|06:18:16,29.71,64.21,0.75,2.02,0.48,476.63,,
693d052d6b13234aa5b2ff18,ESP8266-Sensors,2025-12-13|06:18:21,34.02,58.21,1.53,3.42,0.24,419.1,,
693d05326b13234aa5b2ff19,ESP8266-Sensors,2025-12-13|06:18:26,29.25,75.95,0.59,4.07,0.37,436.79,,
693d05376b13234aa5b2ff1a,ESP8266-Sensors,2025-12-13|06:18:31,30.46,54.94,0.86,3.7,0.29,420.55,,
693d053c6b13234aa5b2ff1b,ESP8266-Sensors,2025-12-13|06:18:36,28.23,41.59,0.8,3.98,0.44,530.79,,
693d05416b13234aa5b2ff1c,ESP8266-Sensors,2025-12-13|06:18:41,29.07,57.75,0.72,4.27,0.37,435.61,,
693d05466b13234aa5b2ff1d,ESP8266-Sensors,2025-12-13|06:18:46,25.51,46.67,1.59,0.45,0.76,472.65,,
693d054b6b13234aa5b2ff1e,ESP8266-Sensors,2025-12-13|06:18:51,30.59,41.32,0.75,1.02,0.91,491.48,,
693d05506b13234aa5b2ff1f,ESP8266-Sensors,2025-12-13|06:18:56,30.57,60.41,0.72,3.78,0.81,505.66,,
693d05556b13234aa5b2ff20,ESP8266-Sensors,2025-12-13|06:19:01,25.15,67.58,1.69,3.01,0.95,595.26,,
693d055a6b13234aa5b2ff21,ESP8266-Sensors,2025-12-13|06:19:06,30.66,54.71,0.86,3.79,0.9,449.36,,
693d055f6b13234aa5b2ff22,ESP8266-Sensors,2025-12-13|06:19:11,25.45,88.06,1.7,3.92,0.3,505.05,,
693d05646b13234aa5b2ff23,ESP8266-Sensors,2025-12-13|06:19:16,27.8,85.05,1.36,2.84,0.84,500.41,,
693d05696b13234aa5b2ff24,ESP8266-Sensors,2025-12-13|06:19:21,29.61,79.87,0.54,1.17,0.41,567.93,,
693d056e6b13234aa5b2ff25,ESP8266-Sensors,2025-12-13|06:19:26,30.29,78,1.06,3.44,0.61,509.85,,
693d05736b13234aa5b2ff26,ESP8266-Sensors,2025-12-13|06:19:31,33.97,85.82,1.15,4.16,0.63,543.74,,
693d05786b13234aa5b2ff27,ESP8266-Sensors,2025-12-13|06:19:36,28.76,81.29,1.4,3.73,0.39,467.82,,
693d057d6b13234aa5b2ff28,ESP8266-Sensors,2025-12-13|06:19:41,29.43,57.04,1.94,1.33,0.83,558.06,,
693d05826b13234aa5b2ff29,ESP8266-Sensors,2025-12-13|06:19:46,30.78,44.2,1.14,4.58,0.61,430.87,,
693d05876b13234aa5b2ff2a,ESP8266-Sensors,2025-12-13|06:19:51,34.86,84.79,1.99,4.62,0.51,520.13,,
693d058c6b13234aa5b2ff2b,ESP8266-Sensors,2025-12-13|06:19:56,32.08,42.41,1.63,1.04,0.47,534.26,,
693d05916b13234aa5b2ff2c,ESP8266-Sensors,2025-12-13|06:20:01,30.98,62.26,2,1.38,0.59,507.37,,
693d05966b13234aa5b2ff2d,ESP8266-Sensors,2025-12-13|06:20:06,28.17,75.13,1.72,4.09,0.29,424.68,,
693d059b6b13234aa5b2ff2e,ESP8266-Sensors,2025-12-13|06:20:11,25.78,43.28,0.62,2.42,0.1,489.55,,
693d05a06b13234aa5b2ff2f,ESP8266-Sensors,2025-12-13|06:20:16,32.22,40.23,0.94,1.87,0.91,407.81,,
693d05a56b13234aa5b2ff30,ESP8266-Sensors,2025-12-13|06:20:21,33.91,79.13,1.4,0.66,0.96,426.63,,
693d05aa6b13234aa5b2ff31,ESP8266-Sensors,2025-12-13|06:20:26,33.68,55.74,1.36,4.59,0.88,450.49,,
693d05af6b13234aa5b2ff32,ESP8266-Sensors,2025-12-13|06:20:31,27.75,62.51,1.69,4.46,0.75,402.25,,
693d05b46b13234aa5b2ff33,ESP8266-Sensors,2025-12-13|06:20:36,25.74,48.4,1.88,1.21,0.82,512.18,,
693d05b96b13234aa5b2ff34,ESP8266-Sensors,2025-12-13|06:20:41,28.55,61.1,0.57,0.7,0.64,566.79,,
693d05be6b13234aa5b2ff35,ESP8266-Sensors,2025-12-13|06:20:46,32.38,65.25,1.19,3.06,0.23,562.75,,
693d05c36b13234aa5b2ff36,ESP8266-Sensors,2025-12-13|06:20:51,30.66,47.17,1.68,1.28,0.63,485.8,,
693d05c86b13234aa5b2ff37,ESP8266-Sensors,2025-12-13|06:20:56,29.47,64.28,0.64,4.11,0.63,520.29,,
693d05cd6b13234aa5b2ff38,ESP8266-Sensors,2025-12-13|06:21:01,29.28,87.33,1.76,1.22,0.3,405.27,,
693d05d26b13234aa5b2ff39,ESP8266-Sensors,2025-12-13|06:21:06,30.88,76.69,0.61,1.35,0.52,462.61,,
693d05d76b13234aa5b2ff3a,ESP8266-Sensors,2025-12-13|06:21:11,28.93,74.17,1.91,1.64,0.36,545.11,,
693d05dc6b13234aa5b2ff3b,ESP8266-Sensors,2025-12-13|06:21:16,25.61,77.01,1.14,3.46,0.94,487.37,,
693d05e16b13234aa5b2ff3c,ESP8266-Sensors,2025-12-13|06:21:21,31.25,88.56,1.9,3.58,0.88,402.23,,
693d05e66b13234aa5b2ff3d,ESP8266-Sensors,2025-12-13|06:21:26,28.46,85.06,1.07,0.84,0.41,458.91,,
693d05eb6b13234aa5b2ff3e,ESP8266-Sensors,2025-12-13|06:21:31,27.38,47.88,0.94,0.39,0.88,556.01,,
693d05f06b13234aa5b2ff3f,ESP8266-Sensors,2025-12-13|06:21:36,27.51,62,1.19,1.16,0.84,430.96,,
693d05f56b13234aa5b2ff40,ESP8266-Sensors,2025-12-13|06:21:41,33.34,65.43,0.82,4.99,0.8,599.18,,
693d05fa6b13234aa5b2ff41,ESP8266-Sensors,2025-12-13|06:21:46,34.96,68.94,0.99,1.95,0.18,478.02,,
693d05ff6b13234aa5b2ff42,ESP8266-Sensors,2025-12-13|06:21:51,32.31,74.46,1.1,2.75,0.58,599.89,,
693d06046b13234aa5b2ff43,ESP8266-Sensors,2025-12-13|06:21:56,29.8,67.78,0.54,2.71,0.37,507.41,,
693d06096b13234aa5b2ff44,ESP8266-Sensors,2025-12-13|06:22:01,30.87,69.21,1.89,4.21,0.55,466.84,,
693d060e6b13234aa5b2ff45,ESP8266-Sensors,2025-12-13|06:22:06,32.89,47.85,1.66,0.36,0.74,479.97,,
693d06136b13234aa5b2ff46,ESP8266-Sensors,2025-12-13|06:22:11,26.18,78.81,1.88,1.33,0.81,480.8,,
693d06186b13234aa5b2ff47,ESP8266-Sensors,2025-12-13|06:22:16,27.7,66.68,1.39,4.74,0.6,508.11,,
693d061d6b13234aa5b2ff48,ESP8266-Sensors,2025-12-13|06:22:21,33.52,41.98,1.64,1.16,0.92,442.42,,
693d06236b13234aa5b2ff49,ESP8266-Sensors,2025-12-13|06:22:26,32.78,81.19,0.85,1.66,0.67,448.71,,
693d06286b13234aa5b2ff4a,ESP8266-Sensors,2025-12-13|06:22:31,32.86,84.74,0.99,2.39,0.55,434.5,,
693d062d6b13234aa5b2ff4b,ESP8266-Sensors,2025-12-13|06:22:37,25.24,48.75,0.52,1.72,0.32,496.26,,
693d06326b13234aa5b2ff4c,ESP8266-Sensors,2025-12-13|06:22:42,33.57,79.53,0.84,4.27,0.56,426.81,,
693d06376b13234aa5b2ff4d,ESP8266-Sensors,2025-12-13|06:22:47,33.99,57.22,0.84,0.18,0.47,594.8,,
693d063c6b13234aa5b2ff4e,ESP8266-Sensors,2025-12-13|06:22:52,31.54,44.14,0.75,1.29,0.85,425.61,,
693d06416b13234aa5b2ff4f,ESP8266-Sensors,2025-12-13|06:22:57,28.76,57.01,1.41,1.94,0.92,422.7,,
693d06466b13234aa5b2ff50,ESP8266-Sensors,2025-12-13|06:23:02,34.8,79.96,1.93,1.74,0.36,515.19,,
693d064b6b13234aa5b2ff51,ESP8266-Sensors,2025-12-13|06:23:07,28.34,77.99,0.98,1.26,0.59,496.08,,
693d06506b13234aa5b2ff52,ESP8266-Sensors,2025-12-13|06:23:12,30.34,63.63,0.52,0.32,0.9,533.32,,
693d06556b13234aa5b2ff53,ESP8266-Sensors,2025-12-13|06:23:17,34.59,50.79,0.91,2.03,0.52,449.62,,
693d065a6b13234aa5b2ff54,ESP8266-Sensors,2025-12-13|06:23:22,25.37,73.23,1.16,4.83,0.19,405.34,,
693d065f6b13234aa5b2ff55,ESP8266-Sensors,2025-12-13|06:23:27,34.3,72.94,1.27,1.3,0.38,586.36,,
693d06646b13234aa5b2ff56,ESP8266-Sensors,2025-12-13|06:23:32,33.87,48.06,1.88,1.06,0.11,480.14,,
693d06696b13234aa5b2ff57,ESP8266-Sensors,2025-12-13|06:23:37,33.36,56.07,0.53,0.81,0.43,471.3,,
693d066e6b13234aa5b2ff58,ESP8266-Sensors,2025-12-13|06:23:42,32.28,75.31,0.58,4.43,0.15,574.51,,
693d06736b13234aa5b2ff59,ESP8266-Sensors,2025-12-13|06:23:47,33.87,40.95,1.13,0.97,0.47,491.3,,
693d06786b13234aa5b2ff5a,ESP8266-Sensors,2025-12-13|06:23:52,31.59,49.7,1.83,1.61,0.44,549.83,,
693d067d6b13234aa5b2ff5b,ESP8266-Sensors,2025-12-13|06:23:57,32.01,59.46,0.51,4.79,0.46,582.43,,
693d06826b13234aa5b2ff5c,ESP8266-Sensors,2025-12-13|06:24:02,31.34,83.86,1.48,4.05,0.2,498.64,,
693d06876b13234aa5b2ff5d,ESP8266-Sensors,2025-12-13|06:24:07,28.75,71.07,1.29,2.19,0.62,538.41,,
693d068c6b13234aa5b2ff5e,ESP8266-Sensors,2025-12-13|06:24:12,31.39,89.6,1.48,2.56,0.11,574.38,,
693d06916b13234aa5b2ff5f,ESP8266-Sensors,2025-12-13|06:24:17,29.63,50.8,1.93,0.11,0.85,504.82,,
693d06966b13234aa5b2ff60,ESP8266-Sensors,2025-12-13|06:24:22,27.52,81.96,1.07,0.54,0.93,534.84,,
693d069b6b13234aa5b2ff61,ESP8266-Sensors,2025-12-13|06:24:27,33.69,58.9,0.65,2.6,0.18,411.61,,
693d06a06b13234aa5b2ff62,ESP8266-Sensors,2025-12-13|06:24:32,26.07,44.39,1.79,4.02,0.54,520.53,,
693d06a56b13234aa5b2ff63,ESP8266-Sensors,2025-12-13|06:24:37,34.94,54,1.67,1.44,0.81,481.72,,
693d06aa6b13234aa5b2ff64,ESP8266-Sensors,2025-12-13|06:24:42,33.96,89.33,1.97,4,0.29,498.36,,
693d06af6b13234aa5b2ff65,ESP8266-Sensors,2025-12-13|06:24:47,25.51,86.16,0.93,3.02,0.47,572.83,,
693d06b46b13234aa5b2ff66,ESP8266-Sensors,2025-12-13|06:24:52,26.26,82.38,1.09,0.27,0.51,591.46,,
693d06b96b13234aa5b2ff67,ESP8266-Sensors,2025-12-13|06:24:57,33.87,81.97,1.63,2.81,0.97,583.15,,
